FR;93;2.29;2.61;583;49.02;48.8;569;seine st denis
FR;94;2.28;2.63;559;48.86;48.69;465;val de marne
FR;95;1.56;2.62;595;49.26;48.9;315;val d oise
US;AK;-221.88;-111.11;595;75.78;47.3;499;alaska
US;AL;-88.56;-84.52;522;35.09;30.17;758;alabama
US;AR;-94.7;-89.78;603;35.56;33.02;552;arkansas
US;AZ;-115.06;-108.82;598;37.12;31.23;687;arizona
US;CA;-124.63;-114;598;42.25;32.38;680;california
US;CO;-109.23;-101.84;595;41.15;36.78;466;colorado
US;CT;-73.74;-71.77;594;42.09;40.96;455;connecticut
US;DE;-75.85;-74.88;404;39.86;38.42;798;delaware
US;FL;-87.75;-79.28;600;31.13;24.5;532;florida
US;GA;-85.66;-80.85;596;35.06;30.32;700;georgia
US;IA;-96.68;-90.06;592;43.6;40.3;399;iowa
US;ID;-117.51;-110.78;542;49.1;41.87;802;idaho
US;IL;-91.79;-87.02;502;42.61;36.9;795;illinois
US;IN;-88.22;-84.69;528;41.82;37.72;796;indiana
US;KS;-102.13;-94.55;602;40.11;36.89;325;kansas
US;KY;-89.71;-81.84;592;39.29;36.38;279;kentucky
US;LA;-94.24;-88.92;595;33.09;28.92;555;louisiana
US;MA;-73.56;-69.91;593;42.92;41.21;377;massachusetts
US;MD;-79.53;-75.04;592;39.78;37.76;346;maryland
US;ME;-71.26;-66.63;579;47.51;43.03;791;maine
US;MI;-90.49;-81.67;596;48.23;41.57;643;michigan
US;MN;-97.62;-89.52;593;49.37;43.4;653;minnesota
US;MO;-95.24;-88.84;595;41.31;35.92;508;missouri
US;MS;-91.83;-88;516;35.06;30.14;786;mississippi
US;MT;-116.21;-103.67;595;49.14;44.26;351;montana
US;NC;-84.43;-75.41;592;36.72;33.78;241;north carolina
US;ND;-104.18;-96.47;592;49.1;45.85;362;north dakota
US;NE;-104.16;-95.26;594;43.15;39.92;291;nebraska
US;NH;-72.64;-70.45;470;45.32;42.7;794;new hampshire
US;NJ;-75.68;-73.76;464;41.35;39.05;794;new jersey
US;NM;-109.24;-102.91;593;37.11;31.26;661;new mexico
US;NV;-121.04;-113.78;614;42.12;34.95;786;nevada
US;NY;-79.82;-71.81;593;45.06;40.24;477;new york
US;OH;-84.98;-80.46;598;42.04;38.37;648;ohio
US;OK;-103.09;-94.34;595;37.21;33.53;316;oklahoma
US;OR;-124.62;-116.55;593;46.37;41.69;473;oregon
US;PA;-80.65;-74.73;595;42.33;39.64;364;pennsylvania
US;RI;-71.91;-71.1;534;42.03;41.29;660;rhode island
US;SC;-83.41;-78.51;595;35.26;32.03;485;south carolina
US;SD;-104.16;-96.24;595;46.15;42.45;389;south dakota
US;TN;-90.43;-81.6;593;36.7;34.93;154;tennessee
US;TX;-107.38;-93.08;598;36.64;25.54;534;texas
US;UT;-114.3;-108.91;599;42.06;36.94;748;utah
US;VA;-83.77;-75.17;591;39.53;36.46;269;virginia
US;VT;-73.51;-71.45;504;45.05;42.71;794;vermont
US;WA;-124.79;-116.77;591;49.07;45.46;385;washington
US;WI;-93.05;-86.69;598;47.12;42.45;627;wisconsin
US;WV;-82.85;-77.42;594;40.66;37.17;506;west virginia
US;WY;-111.22;-103.94;594;45.1;40.78;482;wyoming
US;US;-124.45;-66.69;570;50.16;23.83;343;etats unis
